coin,timestamp,price,volume_24h,price_change_24h,high_24h,low_24h,spread,volatility_7d,momentum_3d,momentum_7d,volume_trend_7d,price_vs_sma20,market_activity,price_volatility,liquidity_score,sentiment_numeric,whale_detected_numeric,whale_score
1INCH,2025-08-11T07:53:35.583550,0.2745,976794.23620303,-1.9642857142857142,0.2865,0.2743,0.001,0.019642857142857142,-0.009821428571428571,-0.005892857142857142,0.97679423620303,0.0,976794.23620303,0.019642857142857142,1.0,0.5,0,2.758406464964943
AAVE,2025-08-11T07:53:35.583852,305.86,5001.69158076,-0.0914614228784216,312.47,298.25,0.001,0.000914614228784216,-0.000457307114392108,-0.00027438426863526477,0.1,0.0,5001.69158076,0.000914614228784216,0.8517731362728075,0.5,0,1.703546272545615
AB,2025-08-11T07:53:35.584013,0.008161,288393.53641,-0.2810361681329423,0.008188,0.008161,0.0023281460605317876,0.002810361681329423,-0.0014051808406647115,-0.0008431085043988268,0.28839353641,0.0,288393.53641,0.002810361681329423,1.0,0.5,0,2.5144169479453318
ACA,2025-08-11T07:53:35.584235,0.03059,26169.56338773,5.519144532597447,0.03059,0.028,0.020268061457992776,0.05519144532597447,0.027595722662987234,0.01655743359779234,0.1,0.0,26169.56338773,0.05519144532597447,1.0,0.5,0,2.0344781046582643
ACH,2025-08-11T07:53:35.584537,0.02286,12277889.55373704,-2.76478094427903,0.024,0.02196,0.001,0.0276478094427903,-0.01382390472139515,-0.008294342832837089,2.0,0.0,12277889.55373704,0.0276478094427903,1.0,0.5,1,3.264662137383185
ACT,2025-08-11T07:53:35.584722,0.04409,350978.26066,-4.546438623078588,0.04799,0.04101,0.006577455205261933,0.04546438623078588,-0.02273219311539294,-0.013639315869235764,0.35097826066000004,0.0,350978.26066,0.04546438623078588,1.0,0.5,0,2.553696482852717
ACX,2025-08-11T07:53:35.584885,0.1874,2257.39662,0.0533902829684997,0.1887,0.1806,0.009071504802561404,0.000533902829684997,0.0002669514148424985,0.0001601708489054991,0.1,0.0,2257.39662,0.000533902829684997,0.7722410380303374,0.5,0,1.5444820760606748
ADA,2025-08-11T07:53:35.585123,0.811827,14871083.44443521,1.2124393156980033,0.832969,0.78384,0.001,0.012124393156980034,0.006062196578490017,0.00363731794709401,2.0,0.0,14871083.44443521,0.012124393156980034,1.0,0.5,1,3.3029858488237003
ADX,2025-08-11T07:53:35.585317,0.14504,177722.79749909,-2.323388780389252,0.15454,0.14147,0.014961389961389997,0.02323388780389252,-0.01161694390194626,-0.006970166341167756,0.17772279749909,0.0,177722.79749909,0.02323388780389252,1.0,0.5,0,2.417597184939699
AERO,2025-08-11T07:53:35.585464,1.2125,2052242.65163,2.8413910093299406,1.3,1.1578,0.001,0.028413910093299407,0.014206955046649703,0.008524173027989822,2.0,0.0,2052242.65163,0.028413910093299407,1.0,0.5,0,2.9068888433670077
AEVO,2025-08-11T07:53:35.585624,0.1022,140335.65261,-1.3513513513513513,0.1056,0.1004,0.0019569471624266708,0.013513513513513513,-0.006756756756756756,-0.004054054054054053,0.14033565261,0.0,140335.65261,0.013513513513513513,1.0,0.5,0,2.370359895303907
AGLD,2025-08-11T07:53:35.585776,0.7714,172.71048,0.0,0.7714,0.7714,0.006481721545242423,0.0,0.0,0.0,0.1,0.0,172.71048,0.0,0.515739000533608,0.5,0,1.031478001067216
AI16Z,2025-08-11T07:53:35.585993,0.1458,2124485.99862,-2.3442732752846616,0.155,0.1343,0.001,0.023442732752846616,-0.011721366376423308,-0.007032819825853984,2.0,0.0,2124485.99862,0.023442732752846616,1.0,0.5,0,2.913808183756374
AIOZ,2025-08-11T07:53:35.586159,0.3975,191235.86225,1.0678871090770403,0.4236,0.3851,0.0010062893081761294,0.010678871090770403,0.005339435545385201,0.0032036613272311207,0.19123586225,0.0,191235.86225,0.010678871090770403,1.0,0.5,0,2.4322536110423174
AIR,2025-08-11T07:53:35.586311,0.00365,3464282.18230663,0.8287292817679558,0.00381,0.00355,0.013698630136986337,0.008287292817679558,0.004143646408839779,0.002486187845303867,2.0,0.0,3464282.18230663,0.008287292817679558,1.0,0.5,0,3.0116032590823254
AIXBT,2025-08-11T07:53:35.586463,0.1376,431009.04378,-2.2727272727272725,0.1428,0.1283,0.001,0.022727272727272724,-0.011363636363636362,-0.006818181818181817,0.43100904378,0.0,431009.04378,0.022727272727272724,1.0,0.5,0,2.594777334449648
AKT,2025-08-11T07:53:35.586609,1.2959,165143.834309,1.1236831837690207,1.3443,1.257,0.001003163824369225,0.011236831837690206,0.005618415918845103,0.0033710495513070617,0.165143834309,0.0,165143.834309,0.011236831837690206,1.0,0.5,0,2.402915630309364
ALCH,2025-08-11T07:53:35.586807,0.14604,5672.66627,1.8126045733407696,0.14604,0.13428,0.023555190358805798,0.018126045733407696,0.009063022866703848,0.005437813720022309,0.1,0.0,5672.66627,0.018126045733407696,0.8643590796226224,0.5,0,1.7287181592452447
ALCX,2025-08-11T07:53:35.586956,10.61,2130.4620837,0.7597340930674265,11.26,9.99,0.0037700282752119838,0.007597340930674264,0.003798670465337132,0.002279202279202279,0.1,0.0,2130.4620837,0.007597340930674264,0.7664563447494385,0.5,0,1.532912689498877
ALGO,2025-08-11T07:53:35.587096,0.2728,5948583.2038175,2.757269850836221,0.28011,0.25967,0.001,0.02757269850836221,0.013786349254181105,0.008271809552508662,2.0,0.0,5948583.2038175,0.02757269850836221,1.0,0.5,0,3.1197327600538474
ALICE,2025-08-11T07:53:35.587462,0.423,2294.66963193,-0.0236350744504845,0.4231,0.4006,0.010638297872340436,0.000236350744504845,-0.0001181753722524225,-7.09052233514535e-05,0.1,0.0,2294.66963193,0.000236350744504845,0.7738779858554279,0.5,0,1.5477559717108558
ALPHA,2025-08-11T07:53:35.587594,0.01635,1911323.69388924,-1.4466546112115732,0.0215,0.01616,0.002446483180428035,0.014466546112115732,-0.007233273056057866,-0.004339963833634719,1.91132369388924,0.0,1911323.69388924,0.014466546112115732,1.0,0.5,0,2.892661423326674
ALT,2025-08-11T07:53:35.587747,0.03694,1006337.5628,-0.3237992444684295,0.0381,0.03594,0.001,0.003237992444684295,-0.0016189962223421474,-0.0009713977334052885,1.0063375628,0.0,1006337.5628,0.003237992444684295,1.0,0.5,0,2.7643658233125032
ANKR,2025-08-11T07:53:35.587887,0.01678,638306.01939003,0.7807807807807807,0.0171,0.01641,0.001191895113230194,0.007807807807807808,0.003903903903903904,0.0023423423423423423,0.63830601939003,0.0,638306.01939003,0.007807807807807808,1.0,0.5,0,2.6733149336382813
ANLOG,2025-08-11T07:53:35.588113,0.001317,374285.14472,-0.9029345372460496,0.001329,0.001299,0.006074411541381912,0.009029345372460496,-0.004514672686230248,-0.0027088036117381485,0.37428514471999996,0.0,374285.14472,0.009029345372460496,1.0,0.5,0,2.5665551753393148
ANON,2025-08-11T07:53:35.588275,2.501,3099.18356,-0.2791068580542264,2.701,2.487,0.017592962814874068,0.0027910685805422643,-0.0013955342902711321,-0.0008373205741626792,0.1,0.0,3099.18356,0.0027910685805422643,0.8039216601623449,0.5,0,1.6078433203246898
APENFT,2025-08-11T07:53:35.588410,4.748e-07,2722541665.4591,0.1687763713080168,4.758e-07,4.679e-07,0.011162594776748051,0.001687763713080168,0.000843881856540084,0.0005063291139240503,2.0,0.0,2722541665.4591,0.001687763713080168,1.0,0.5,1,4.344966343427759
APE,2025-08-11T07:53:35.588537,0.629,26809.55800037,-1.147257582901147,0.649,0.6218,0.001,0.011472575829011471,-0.0057362879145057355,-0.0034417727487034413,0.1,0.0,26809.55800037,0.011472575829011471,1.0,0.5,0,2.0393102088313286
API3,2025-08-11T07:53:35.588661,0.765,17296.34298307,-0.2607561929595827,0.785,0.746,0.0013071895424836613,0.002607561929595827,-0.0013037809647979135,-0.000782268578878748,0.1,0.0,17296.34298307,0.002607561929595827,0.9758308183896875,0.5,0,1.951661636779375
APT,2025-08-11T07:53:35.588808,4.7275,101345.89179705,0.6879366161185891,4.8354,4.5886,0.001,0.0068793661611858915,0.0034396830805929457,0.0020638098483557674,0.10134589179705,0.0,101345.89179705,0.0068793661611858915,1.0,0.8,0,2.3052608966797052
APU,2025-08-11T07:53:35.588981,0.000275,379856988.99568,0.5484460694698354,0.0002899,0.0002641,0.007272727272727252,0.005484460694698354,0.002742230347349177,0.0016453382084095063,2.0,0.0,379856988.99568,0.005484460694698354,1.0,0.5,1,3.9510610795467214
ARB,2025-08-11T07:53:35.589132,0.4607,1089056.02255,-1.3490364025695931,0.4813,0.4494,0.001,0.013490364025695931,-0.0067451820128479655,-0.004047109207708779,1.0890560225500001,0.0,1089056.02255,0.013490364025695931,1.0,0.5,0,2.780164552569821
ARC,2025-08-11T07:53:35.589306,0.02623,866378.66172,-10.933786078098471,0.0317,0.02042,0.20739611132291272,0.10933786078098472,-0.05466893039049236,-0.03280135823429541,0.86637866172,0.0,866378.66172,0.10933786078098472,1.0,0.5,0,2.734415699984864
ARKM,2025-08-11T07:53:35.589442,0.5394,137221.24846,-0.4245892560457817,0.5581,0.5214,0.001112347052280189,0.004245892560457817,-0.0021229462802289083,-0.001273767768137345,0.13722124846,0.0,137221.24846,0.004245892560457817,1.0,0.5,0,2.365871428382891
ARPA,2025-08-11T07:53:35.589580,0.02379,513818.46524934,0.9762308998302207,0.02396,0.02322,0.0012610340479193884,0.009762308998302207,0.004881154499151104,0.002928692699490662,0.5138184652493399,0.0,513818.46524934,0.009762308998302207,1.0,0.5,0,2.6299254495632813
AR,2025-08-11T07:53:35.589695,7.79,6589.77568,-1.016518424396442,8.15,7.52,0.0025673940949936407,0.01016518424396442,-0.00508259212198221,-0.003049555273189326,0.1,0.0,6589.77568,0.01016518424396442,0.8793426326184358,0.5,0,1.7586852652368716
ASRR,2025-08-11T07:53:35.589826,0.0882,14377.47134,-0.5636978579481396,0.0898,0.0867,0.015873015873015855,0.005636978579481397,-0.0028184892897406984,-0.001691093573844419,0.1,0.0,14377.47134,0.005636978579481397,0.9573487321034596,0.5,0,1.9146974642069192
ASTR,2025-08-11T07:53:35.589937,0.02533,141045.48842228,-0.8998435054773082,0.02596,0.02495,0.001,0.008998435054773081,-0.0044992175273865405,-0.002699530516431924,0.14104548842228,0.0,141045.48842228,0.008998435054773081,1.0,0.5,0,2.371368964028414
ATH,2025-08-11T07:53:35.590078,0.03673,2285397.29389,-0.4876727174207531,0.03771,0.03586,0.001361285053090156,0.004876727174207531,-0.0024383635871037656,-0.0014630181522622594,2.0,0.0,2285397.29389,0.004876727174207531,1.0,0.5,0,2.92841017503374
ATLAS,2025-08-11T07:53:35.590254,0.00104,7943199.46076821,1.4634146341463414,0.001057,0.001014,0.005769230769230702,0.014634146341463414,0.007317073170731707,0.004390243902439024,2.0,0.0,7943199.46076821,0.014634146341463414,1.0,0.5,0,3.1775653665418804
ATOM,2025-08-11T07:53:35.590390,4.6409,82733.76921286,-0.426965327840714,4.7714,4.5731,0.001,0.00426965327840714,-0.00213482663920357,-0.001280895983522142,0.1,0.0,82733.76921286,0.00426965327840714,1.0,0.5,0,2.26467904368959
AUCTION,2025-08-11T07:53:35.590525,10.95,965.18971,2.0122973728339852,10.95,10.374,0.0013698630136986822,0.020122973728339853,0.010061486864169926,0.006036892118501956,0.1,0.0,965.18971,0.020122973728339853,0.6873360202094644,0.5,0,1.3746720404189288
AUDIO,2025-08-11T07:53:35.590641,0.065,171058.14494413,0.0,0.0656,0.0632,0.004615384615384748,0.0,0.0,0.0,0.17105814494413002,0.0,171058.14494413,0.0,1.0,0.5,0,2.409952930509888
AUD,2025-08-11T07:53:35.590769,0.65293,4327989.20367052,0.0889093278148233,0.65735,0.65177,0.001,0.000889093278148233,0.0004445466390741165,0.0002667279834444699,2.0,0.0,4327989.20367052,0.000889093278148233,1.0,0.5,0,3.056122767205731
A,2025-08-11T07:53:35.590886,0.5423,120469.12147,0.9869646182495344,0.5466,0.5287,0.006822791812649688,0.009869646182495345,0.004934823091247672,0.002960893854748603,0.12046912147,0.0,120469.12147,0.009869646182495345,1.0,0.5,0,2.339831409312242
AVAAI,2025-08-11T07:53:35.590995,0.04348,4029145.5571,-15.474339035769828,0.05363,0.03153,0.00390984360625583,0.1547433903576983,-0.07737169517884915,-0.046423017107309485,2.0,0.0,4029145.5571,0.1547433903576983,1.0,0.5,0,3.0418130278128315
AVAX,2025-08-11T07:53:35.591293,24.11,62707.42123035,1.090146750524109,24.6,23.26,0.001,0.01090146750524109,0.005450733752620545,0.003270440251572327,0.1,0.0,62707.42123035,0.01090146750524109,1.0,0.5,0,2.209250205499237
